Date,SKU,ProductName,Category,Cost,Sales,Promotion,Weather,Holiday,Profit
2022-01-02,SKU-101,Pro Carbon Stick,Sticks,150.0,328.62,None,Sunny,0,178.62
2022-01-02,SKU-401,Stealth Pro Gloves,Gloves,90.0,216.08,None,Snow,1,126.08
2022-01-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,214.98,10% Off,Sunny,0,124.98
2022-01-04,SKU-201,Vapor Flex Skates,Skates,300.0,489.18,None,Sunny,0,189.18
2022-01-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,187.75,None,Rain,0,97.75
2022-01-06,SKU-201,Vapor Flex Skates,Skates,300.0,680.69,10% Off,Snow,0,380.69
2022-01-07,SKU-301,AeroLite Helmet,Helmets,80.0,179.81,None,Snow,1,99.81
2022-01-07,SKU-301,AeroLite Helmet,Helmets,80.0,174.96,None,Rain,1,94.96
2022-01-08,SKU-101,Pro Carbon Stick,Sticks,150.0,329.93,None,Snow,0,179.93
2022-01-09,SKU-401,Stealth Pro Gloves,Gloves,90.0,208.32,None,Rain,0,118.32
2022-01-09,SKU-301,AeroLite Helmet,Helmets,80.0,150.16,None,Sunny,0,70.16
2022-01-09,SKU-201,Vapor Flex Skates,Skates,300.0,465.66,None,Sunny,0,165.66
2022-01-10,SKU-201,Vapor Flex Skates,Skates,300.0,545.45,None,Snow,0,245.45
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,550.32,None,Rain,0,250.32
2022-01-11,SKU-401,Stealth Pro Gloves,Gloves,90.0,165.82,None,Rain,0,75.82
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,626.37,10% Off,Snow,0,326.37
2022-01-11,SKU-401,Stealth Pro Gloves,Gloves,90.0,191.87,10% Off,Sunny,0,101.87
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,483.7,None,Sunny,0,183.7
2022-01-12,SKU-301,AeroLite Helmet,Helmets,80.0,178.1,None,Snow,0,98.1
2022-01-12,SKU-401,Stealth Pro Gloves,Gloves,90.0,203.76,10% Off,Sunny,0,113.76
2022-01-13,SKU-201,Vapor Flex Skates,Skates,300.0,702.94,None,Sunny,0,402.94
2022-01-13,SKU-201,Vapor Flex Skates,Skates,300.0,493.11,None,Sunny,0,193.11
2022-01-15,SKU-401,Stealth Pro Gloves,Gloves,90.0,198.89,None,Rain,0,108.89
2022-01-15,SKU-201,Vapor Flex Skates,Skates,300.0,482.92,None,Snow,0,182.92
2022-01-16,SKU-401,Stealth Pro Gloves,Gloves,90.0,177.25,None,Sunny,0,87.25
2022-01-16,SKU-301,AeroLite Helmet,Helmets,80.0,169.73,None,Sunny,1,89.73
2022-01-17,SKU-101,Pro Carbon Stick,Sticks,150.0,338.63,None,Snow,0,188.63
2022-01-17,SKU-301,AeroLite Helmet,Helmets,80.0,195.26,None,Snow,0,115.26
2022-01-18,SKU-201,Vapor Flex Skates,Skates,300.0,716.52,10% Off,Sunny,0,416.52
2022-01-18,SKU-201,Vapor Flex Skates,Skates,300.0,599.02,None,Sunny,0,299.02
2022-01-19,SKU-101,Pro Carbon Stick,Sticks,150.0,264.76,None,Rain,0,114.76
2022-01-20,SKU-301,AeroLite Helmet,Helmets,80.0,192.02,None,Rain,0,112.02
2022-01-20,SKU-101,Pro Carbon Stick,Sticks,150.0,332.41,10% Off,Rain,0,182.41
2022-01-20,SKU-401,Stealth Pro Gloves,Gloves,90.0,195.55,None,Snow,0,105.55
2022-01-21,SKU-101,Pro Carbon Stick,Sticks,150.0,373.21,None,Snow,0,223.21
2022-01-21,SKU-101,Pro Carbon Stick,Sticks,150.0,295.72,None,Sunny,0,145.72
2022-01-22,SKU-301,AeroLite Helmet,Helmets,80.0,178.72,None,Snow,0,98.72
2022-01-22,SKU-301,AeroLite Helmet,Helmets,80.0,185.9,None,Snow,0,105.9
2022-01-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,173.97,None,Rain,0,83.97
2022-01-23,SKU-201,Vapor Flex Skates,Skates,300.0,690.28,10% Off,Sunny,0,390.28
2022-01-23,SKU-101,Pro Carbon Stick,Sticks,150.0,345.31,10% Off,Snow,0,195.31
2022-01-24,SKU-301,AeroLite Helmet,Helmets,80.0,193.75,None,Sunny,0,113.75
2022-01-26,SKU-101,Pro Carbon Stick,Sticks,150.0,318.88,None,Sunny,0,168.88
2022-01-26,SKU-401,Stealth Pro Gloves,Gloves,90.0,210.56,None,Rain,0,120.56
2022-01-27,SKU-101,Pro Carbon Stick,Sticks,150.0,269.48,None,Snow,0,119.48
2022-01-28,SKU-201,Vapor Flex Skates,Skates,300.0,627.2,None,Rain,0,327.2
2022-01-29,SKU-101,Pro Carbon Stick,Sticks,150.0,369.72,10% Off,Rain,0,219.72
2022-01-30,SKU-301,AeroLite Helmet,Helmets,80.0,193.39,None,Rain,1,113.39
2022-01-31,SKU-201,Vapor Flex Skates,Skates,300.0,723.02,10% Off,Sunny,0,423.02
2022-02-01,SKU-201,Vapor Flex Skates,Skates,300.0,601.78,None,Snow,0,301.78
2022-02-01,SKU-201,Vapor Flex Skates,Skates,300.0,706.47,10% Off,Sunny,0,406.47
2022-02-02,SKU-401,Stealth Pro Gloves,Gloves,90.0,178.47,None,Snow,0,88.47
2022-02-05,SKU-201,Vapor Flex Skates,Skates,300.0,543.21,None,Rain,0,243.21
2022-02-06,SKU-201,Vapor Flex Skates,Skates,300.0,517.78,None,Snow,0,217.78
2022-02-06,SKU-301,AeroLite Helmet,Helmets,80.0,150.26,None,Rain,0,70.26
2022-02-06,SKU-101,Pro Carbon Stick,Sticks,150.0,240.37,None,Sunny,0,90.37
